Type,MPG,Date,Time,Vehicle,Odometer,Filled Up,Cost/Gallon,Gallons,Total Cost,Octane,Gas Brand,Location,Tags,Payment Type,Tire Pressure,Notes,Services
Gas,0.0,2016-02-19,8:49 AM,Golf R,375,Partial,$2.299,10.62,$24.42,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.98,2016-02-23,8:49 AM,Golf R,657,Full,$2.279,11.29,$25.73,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.98,2016-03-02,8:49 AM,Golf R,897,Full,$2.279,10.92,$24.89,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.33,2016-03-11,8:49 AM,Golf R,1134,Full,$3.119,12.26,$38.24,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.28,2016-03-18,8:49 AM,Golf R,1410,Full,$2.139,12.39,$26.5,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.56,2016-03-20,8:49 AM,Golf R,1655,Full,$2.159,8.58,$18.52,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.36,2016-03-25,8:49 AM,Golf R,1875,Full,$2.189,9.03,$19.77,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.39,2016-03-27,8:49 AM,Golf R,2197,Full,$2.189,12.68,$27.76,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.26,2016-04-06,8:49 AM,Golf R,2446,Full,$2.579,11.71,$30.2,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.08,2016-04-13,8:49 AM,Golf R,2661,Full,$2.679,10.71,$28.69,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.11,2016-04-19,8:49 AM,Golf R,2867,Full,$2.779,9.76,$27.12,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.3,2016-04-27,8:49 AM,Golf R,3094,Full,$2.719,11.18,$30.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.04,2016-05-05,8:49 AM,Golf R,3301,Full,$2.759,10.33,$28.5,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.29,2016-05-13,8:49 AM,Golf R,3537,Full,$2.879,11.63,$33.48,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.65,2016-05-23,8:49 AM,Golf R,3752,Full,$2.939,10.94,$32.15,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.77,2016-06-01,8:49 AM,Golf R,3956,Full,$2.939,9.37,$27.54,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,0.0,2016-06-09,8:49 AM,Golf R,4242,Partial,$2.839,5.28,$14.99,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.26,2016-06-10,8:49 AM,Golf R,4356,Full,$2.569,12.69,$32.6,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,26.3,2016-06-12,8:49 AM,Golf R,4584,Full,$2.589,8.67,$22.45,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.45,2016-06-21,8:49 AM,Golf R,4837,Full,$2.779,12.37,$34.38,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.77,2016-06-29,8:49 AM,Golf R,5078,Full,$2.739,11.07,$30.32,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.63,2016-07-12,8:49 AM,Golf R,5324,Full,$2.679,12.53,$33.57,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.35,2016-07-18,8:49 AM,Golf R,5577,Full,$2.619,12.43,$32.55,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.14,2016-07-25,8:49 AM,Golf R,5723,Full,$2.619,7.25,$18.99,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.81,2016-07-27,8:49 AM,Golf R,5853,Full,$2.639,5.24,$13.83,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.29,2016-07-28,8:49 AM,Golf R,6108,Full,$2.579,10.5,$27.08,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.45,2016-08-07,8:49 AM,Golf R,6356,Full,$2.749,11.56,$31.78,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.96,2016-08-11,8:49 AM,Golf R,6595,Full,$2.439,10.41,$25.39,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.83,2016-08-14,8:49 AM,Golf R,6914,Full,$2.599,12.35,$32.1,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,19.92,2016-08-25,8:49 AM,Golf R,7168,Full,$2.679,12.75,$34.16,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.65,2016-08-31,8:49 AM,Golf R,7430,Full,$2.459,11.57,$28.45,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.28,2016-09-06,8:49 AM,Golf R,7725,Full,$2.489,12.15,$30.24,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.93,2016-09-16,8:49 AM,Golf R,8007,Full,$2.659,12.857,$34.19,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.63,2016-09-27,8:49 AM,Golf R,8251,Full,$2.739,11.829,$32.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.75,2016-10-07,8:49 AM,Golf R,8515,Full,$2.739,12.139,$33.25,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.22,2016-10-15,8:49 AM,Golf R,8730,Full,$2.539,10.134,$25.73,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,20.02,2016-10-24,8:49 AM,Golf R,8979,Full,$2.759,12.439,$34.32,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.27,2016-10-30,8:49 AM,Golf R,9242,Full,$2.699,12.364,$33.37,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.61,2016-11-05,8:49 AM,Golf R,9519,Full,$2.759,12.254,$33.81,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.38,2016-11-10,8:49 AM,Golf R,9797,Full,$2.499,11.893,$29.72,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,21.66,2016-11-17,8:49 AM,Golf R,10057,Full,$2.719,12.004,$32.64,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.64,2016-11-23,8:49 AM,Golf R,10317,Full,$2.709,11.484,$31.11,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.36,2016-11-27,8:49 AM,Golf R,10564,Full,$2.689,9.029,$24.28,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.85,2016-11-30,8:49 AM,Golf R,10848,Full,$2.809,10.986,$30.86,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.77,2016-12-05,8:49 AM,Golf R,11122,Full,$2.909,11.062,$32.18,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.65,2016-12-08,8:49 AM,Golf R,11405,Full,$2.819,11.479,$32.36,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.35,2016-12-13,8:49 AM,Golf R,11704,Full,$2.899,12.278,$35.59,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,0.0,2016-12-20,8:49 AM,Golf R,11963,Partial,$2.879,11.06,$31.84,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.64,2016-12-28,8:49 AM,Golf R,12231,Full,$2.779,10.453,$29.05,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,0.0,2017-01-02,8:49 AM,Golf R,12462,Partial,$3.069,6.533,$20.05,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.37,2017-01-03,8:49 AM,Golf R,12670,Full,$3.119,10.773,$33.6,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.83,2017-01-10,8:49 AM,Golf R,12989,Full,$2.959,12.849,$38.02,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.63,2017-01-15,8:49 AM,Golf R,13254,Full,$2.919,11.213,$32.73,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.45,2017-01-23,8:49 AM,Golf R,13561,Full,$3.039,12.555,$38.15,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.41,2017-01-26,8:49 AM,Golf R,13767,Full,$2.949,8.8,$25.95,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,28.97,2017-01-29,8:49 AM,Golf R,14003,Full,$3.079,8.146,$25.08,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.11,2017-02-01,8:49 AM,Golf R,14295,Full,$3.019,11.63,$35.11,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.83,2017-02-07,8:49 AM,Golf R,14560,Full,$2.81,11.122,$31.25,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.11,2017-02-16,8:49 AM,Golf R,14855,Full,$2.87,12.234,$35.11,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.88,2017-02-25,8:49 AM,Golf R,15173,Full,$2.789,12.288,$34.27,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,30.28,2017-02-28,8:49 AM,Golf R,15499,Full,$2.799,10.765,$30.13,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,18.85,2017-03-06,8:49 AM,Golf R,15728,Full,$2.949,12.147,$35.82,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.41,2017-03-08,8:49 AM,Golf R,15930,Full,$2.799,8.275,$23.16,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.85,2017-03-16,8:49 AM,Golf R,16152,Full,$2.759,9.308,$25.68,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.88,2017-03-22,8:49 AM,Golf R,16426,Full,$2.759,11.475,$31.66,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.5,2017-03-27,8:49 AM,Golf R,16703,Full,$2.739,11.789,$32.29,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.38,2017-04-03,8:49 AM,Golf R,16983,Full,$2.779,11.486,$31.92,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.54,2017-04-06,8:49 AM,Golf R,17183,Full,$3.089,8.495,$26.24,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.78,2017-04-12,8:49 AM,Golf R,17445,Full,$3.099,11.02,$34.15,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.71,2017-04-18,8:49 AM,Golf R,17694,Full,$2.999,10.077,$30.22,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.56,2017-04-24,8:49 AM,Golf R,17970,Full,$3.149,12.232,$38.52,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.96,2017-04-28,8:49 AM,Golf R,18271,Full,$2.999,12.561,$37.67,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.97,2017-05-04,8:49 AM,Golf R,18519,Full,$2.899,10.348,$30.0,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.61,2017-05-11,8:49 AM,Golf R,18778,Full,$2.839,10.969,$31.14,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.91,2017-05-16,8:49 AM,Golf R,19086,Full,$3.009,12.363,$37.2,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.56,2017-05-20,8:49 AM,Golf R,19282,Full,$2.799,8.321,$23.29,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.34,2017-05-21,8:49 AM,Golf R,19597,Full,$3.159,12.431,$39.27,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,27.55,2017-05-22,8:49 AM,Golf R,19922,Full,$3.099,11.797,$36.56,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.8,2017-05-25,8:49 AM,Golf R,20243,Full,$2.879,12.945,$37.27,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.83,2017-06-01,8:49 AM,Golf R,20559,Full,$2.879,12.233,$35.22,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.43,2017-06-06,8:49 AM,Golf R,20893,Full,$2.859,13.134,$37.55,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.85,2017-06-12,8:49 AM,Golf R,21183,Full,$2.859,11.672,$33.37,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.75,2017-06-16,8:49 AM,Golf R,21509,Full,$2.839,13.17,$37.39,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.94,2017-06-21,8:49 AM,Golf R,21760,Full,$2.839,10.486,$29.77,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.53,2017-06-26,8:49 AM,Golf R,22022,Full,$2.799,11.133,$31.16,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.22,2017-06-30,8:49 AM,Golf R,22355,Full,$2.799,13.205,$36.96,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.61,2017-07-10,8:49 AM,Golf R,22623,Full,$2.859,10.888,$31.13,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.15,2017-07-17,8:49 AM,Golf R,22929,Full,$2.859,12.169,$34.79,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.39,2017-07-20,8:49 AM,Golf R,23182,Full,$2.859,10.818,$30.93,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,22.85,2017-07-26,8:49 AM,Golf R,23433,Full,$2.859,10.983,$31.4,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,23.53,2017-08-05,8:49 AM,Golf R,23636,Full,$2.899,8.627,$25.01,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,25.09,2017-08-09,8:49 AM,Golf R,23918,Full,$2.899,11.24,$32.58,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.91,2017-08-16,8:49 AM,Golf R,24225,Full,$2.979,12.326,$36.72,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.59,2017-08-22,8:49 AM,Golf R,24497,Full,$2.819,11.061,$31.18,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.89,2017-08-24,8:49 AM,Golf R,24753,Full,$2.779,10.284,$28.58,Premium [Octane: 91],Citgo,,,American Express,0,,
Gas,24.69,2017-08-30,8:49 AM,Golf R,25064,Full,$2.899,12.594,$36.51,Premium [Octane: 91],Citgo,,,American Express,0,,
